stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,Thank.started,text.started,text.stopped,Thank.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,2,10.0,0.022261800011619925,,0.005847699998412281,0.022261800011619925,0.532140299997991,0.532140299997991,0.532140299997991,0.8403863999992609,12.633446099993307,right,10.0,0,0,12.069181800005026,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
1,1,12.0,12.637632199999643,,12.633627700008219,12.637632199999643,13.139625799987698,13.139625799987698,13.139625799987698,13.439081699994858,13.623830800002906,left,-12.0,1,1,0.47790830000303686,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
2,1,11.0,13.639546199992765,,13.624090299999807,13.639546199992765,14.122892699990189,14.122892699990189,14.122892699990189,14.422890399990138,14.539847800013376,left,-11.0,1,1,0.4010355999926105,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
3,1,11.0,14.556066499993904,,14.540091900009429,14.556066499993904,15.039375799999107,15.039375799999107,15.039375799999107,15.339446199999657,15.439747900003567,left,-11.0,1,1,0.39629710000008345,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
4,1,11.0,15.456278700003168,,15.439996100001736,15.456278700003168,15.939406599994982,15.939406599994982,15.939406599994982,16.23935389998951,16.423007100005634,right,11.0,1,1,0.4706802000000607,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
5,1,10.0,16.439535899990005,,16.4232772999967,16.439535899990005,16.92285339999944,16.92285339999944,16.92285339999944,17.222549800004344,17.306690800003707,right,10.0,0,0,0.3782282999891322,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
6,1,11.0,17.322535799990874,,17.30694010001025,17.322535799990874,17.80620409999392,17.80620409999392,17.80620409999392,18.106101399986073,18.323918600013712,left,-11.0,1,1,0.515791599988006,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
7,1,11.0,18.339218200009782,,18.324160799995298,18.339218200009782,18.83927679999033,18.83927679999033,18.83927679999033,19.139219200005755,19.423375199985458,left,-11.0,1,1,0.5694871000014246,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
8,0.5,11.0,19.439369100000476,,19.4236271000118,19.439369100000476,19.93888319999678,19.93888319999678,19.93888319999678,20.239453699992737,20.40632770000957,right,11.0,1,1,0.4651150999998208,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
9,0.5,10.5,20.422673199995188,,20.40661179999006,20.422673199995188,20.905743200011784,20.905743200011784,20.905743200011784,21.205529800005024,21.25629879999906,left,-10.5,1,1,0.33984800000325777,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
