word,color,outcome,correct_response,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,INSTRUCTION.started,text_2.started,text_2.stopped,INSTRUCTION.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,THANKS.started,text_3.started,text_3.stopped,THANKS.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,,,,,
,,,,,,,,,,,,,,,,,0.0014686,0.0033388,0.9994545,0.9833886,,,,,,,,,,,,,,,7,1,2025-08-14_20h23.01.374,Experiment,,2025.1.1,59.9918891,2025-08-14 20h23.06.529385 +0530,,,,,
BLUE,red,I,r,0,0,0,r,1,1.1487381,None,0,0,0,1,0.9994545,,,,,,0.9942742,0.9994545,1.499614,1.499614,1.499614,2.6522753,r,1,1.1487381,None,,,,,7,1,2025-08-14_20h23.01.374,Experiment,,2025.1.1,59.9918891,2025-08-14 20h23.06.529385 +0530,,,,,1.1487381
RED,blue,I,b,1,1,0,b,1,0.6936902,None,0,1,1,2,2.6659615,,,,,,2.6561648,2.6659615,3.1660012,3.1660012,3.1660012,3.8668067,b,1,0.6936902,None,,,,,7,1,2025-08-14_20h23.01.374,Experiment,,2025.1.1,59.9918891,2025-08-14 20h23.06.529385 +0530,,,,,0.6936902
RED,red,C,r,2,2,0,r,1,0.3490451,None,0,2,2,0,3.8829095,,,,,,3.8676261,3.8829095,4.3662184,4.3662184,4.3662184,4.7164898,r,1,0.3490451,None,,,,,7,1,2025-08-14_20h23.01.374,Experiment,,2025.1.1,59.9918891,2025-08-14 20h23.06.529385 +0530,,,,,0.3494061
BLUE,blue,C,b,3,3,0,b,1,0.3287262,None,0,3,3,3,4.7328586,,,,,,4.7201337,4.7328586,5.216185,5.216185,5.216185,5.5494205,b,1,0.3287262,None,,,,,7,1,2025-08-14_20h23.01.374,Experiment,,2025.1.1,59.9918891,2025-08-14 20h23.06.529385 +0530,,,,,0.6715691
BLUE,blue,C,b,4,0,1,b,1,0.5768921,None,1,0,4,3,5.5658835,,,,,,5.5497283,5.5658835,6.0494181,6.0494181,6.0494181,6.6331113,b,1,0.5768921,None,,,,,7,1,2025-08-14_20h23.01.374,Experiment,,2025.1.1,59.9918891,2025-08-14 20h23.06.529385 +0530,,,,,0.3266886
RED,blue,I,b,5,1,1,b,1,0.3494061,None,1,1,5,2,6.6490938,,,,,,6.6366351,6.6490938,7.132598,7.132598,7.132598,7.483187,b,1,0.3494061,None,,,,,7,1,2025-08-14_20h23.01.374,Experiment,,2025.1.1,59.9918891,2025-08-14 20h23.06.529385 +0530,,,,,0.4599985
RED,red,C,r,6,2,1,r,1,0.4189099,None,1,2,6,0,7.4995377,,,,,,7.4845939,7.4995377,7.9824872,7.9824872,7.9824872,8.4161381,r,1,0.4189099,None,,,,,7,1,2025-08-14_20h23.01.374,Experiment,,2025.1.1,59.9918891,2025-08-14 20h23.06.529385 +0530,,,,,0.4819802
BLUE,red,I,r,7,3,1,r,1,0.6715691,None,1,3,7,1,8.4323699,,,,,,8.419822,8.4323699,8.9158052,8.9158052,8.9158052,9.5995683,r,1,0.6715691,None,,,,,7,1,2025-08-14_20h23.01.374,Experiment,,2025.1.1,59.9918891,2025-08-14 20h23.06.529385 +0530,,,,,0.4330775
RED,red,C,r,8,0,2,r,1,0.5690602,None,2,0,8,0,9.6155668,,,,,,9.6031761,9.6155668,10.0992289,10.0992289,10.0992289,10.6831739,r,1,0.5690602,None,,,,,7,1,2025-08-14_20h23.01.374,Experiment,,2025.1.1,59.9918891,2025-08-14 20h23.06.529385 +0530,,,,,0.516694
RED,blue,I,b,9,1,2,b,1,0.3266886,None,2,1,9,2,10.6992935,,,,,,10.6839546,10.6992935,11.1825088,11.1825088,11.1825088,11.5162541,b,1,0.3266886,None,,,,,7,1,2025-08-14_20h23.01.374,Experiment,,2025.1.1,59.9918891,2025-08-14 20h23.06.529385 +0530,,,,,0.4707547
