thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,Fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
1,0,1,np.float64(0.4462962962962963),np.float64(-0.41759259259259257),1,0,0,2.1540283,target',1,0,1,0,1.9156589,,5,1.9058434,1.9156589,1.9156589,0.0162756,4.059989,np.float64(0.4462962962962963),np.float64(-0.41759259259259257),1,0,0,2.1540283,target',4,1,2025-09-30_15h54.49.194,Exp Visual Search,,2025.1.1,60.1169997,2025-09-30 15h55.00.821456 +0530
2,0,2,np.float64(0.17222222222222222),np.float64(0.3907407407407407),1,0,0,2.3007178,target',2,0,2,0,4.082161,,5,4.0746312,4.082161,4.082161,0.0144155,6.3754626,np.float64(0.17222222222222222),np.float64(0.3907407407407407),1,0,0,2.3007178,target',4,1,2025-09-30_15h54.49.194,Exp Visual Search,,2025.1.1,60.1169997,2025-09-30 15h55.00.821456 +0530
3,0,3,np.float64(-0.37777777777777777),np.float64(-0.34629629629629627),1,0,0,2.1822042,target',3,0,3,0,6.4006695,,5,6.3933146,6.4006695,6.4006695,0.0175765,8.5756299,np.float64(-0.37777777777777777),np.float64(-0.34629629629629627),1,0,0,2.1822042,target',4,1,2025-09-30_15h54.49.194,Exp Visual Search,,2025.1.1,60.1169997,2025-09-30 15h55.00.821456 +0530
5,0,5,np.float64(-0.2611111111111111),np.float64(0.15555555555555556),1,0,0,1.3344734,target',5,0,5,0,10.2643226,,5,10.2573134,10.2643226,10.2643226,0.0147193,11.5919076,np.float64(-0.2611111111111111),np.float64(0.15555555555555556),1,0,0,1.3344734,target',4,1,2025-09-30_15h54.49.194,Exp Visual Search,,2025.1.1,60.1169997,2025-09-30 15h55.00.821456 +0530
7,0,7,np.float64(0.001851851851851852),np.float64(-0.16574074074074074),1,0,0,1.4847195,target',7,0,7,0,13.7306736,,5,13.7236784,13.7306736,13.7306736,0.0148007,15.2085171,np.float64(0.001851851851851852),np.float64(-0.16574074074074074),1,0,0,1.4847195,target',4,1,2025-09-30_15h54.49.194,Exp Visual Search,,2025.1.1,60.1169997,2025-09-30 15h55.00.821456 +0530
9,0,9,np.float64(0.09166666666666666),np.float64(-0.12314814814814815),1,0,0,1.3089769,target',9,0,9,0,18.0939726,,5,18.0823011,18.0939726,18.0939726,0.0240459,19.3913795,np.float64(0.09166666666666666),np.float64(-0.12314814814814815),1,0,0,1.3089769,target',4,1,2025-09-30_15h54.49.194,Exp Visual Search,,2025.1.1,60.1169997,2025-09-30 15h55.00.821456 +0530
15,0,15,np.float64(-0.2972222222222222),np.float64(-0.14907407407407408),1,0,0,1.7489996,target',15,0,15,0,28.8657075,,5,28.8581774,28.8657075,28.8657075,0.0165253,30.6072876,np.float64(-0.2972222222222222),np.float64(-0.14907407407407408),1,0,0,1.7489996,target',4,1,2025-09-30_15h54.49.194,Exp Visual Search,,2025.1.1,60.1169997,2025-09-30 15h55.00.821456 +0530
17,0,17,np.float64(-0.13240740740740742),np.float64(-0.2111111111111111),1,0,0,3.1637875,target',17,0,17,0,34.2843168,,5,34.275808,34.2843168,34.2843168,0.0180619,37.4396723,np.float64(-0.13240740740740742),np.float64(-0.2111111111111111),1,0,0,3.1637875,target',4,1,2025-09-30_15h54.49.194,Exp Visual Search,,2025.1.1,60.1169997,2025-09-30 15h55.00.821456 +0530
18,0,18,np.float64(-0.1824074074074074),np.float64(0.16111111111111112),1,0,0,1.5682782,target',18,0,18,0,37.4639944,,5,37.4545111,37.4639944,37.4639944,0.0146974,39.0228529,np.float64(-0.1824074074074074),np.float64(0.16111111111111112),1,0,0,1.5682782,target',4,1,2025-09-30_15h54.49.194,Exp Visual Search,,2025.1.1,60.1169997,2025-09-30 15h55.00.821456 +0530
19,0,19,np.float64(0.06851851851851852),np.float64(-0.44351851851851853),1,0,0,2.0411939,target',19,0,19,0,39.0429175,,5,39.0324831,39.0429175,39.0429175,0.0095206,41.0737912,np.float64(0.06851851851851852),np.float64(-0.44351851851851853),1,0,0,2.0411939,target',4,1,2025-09-30_15h54.49.194,Exp Visual Search,,2025.1.1,60.1169997,2025-09-30 15h55.00.821456 +0530
