pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixtion.started,line1.started,line2.started,line3.started,line4.started,fixtion.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
-50,x,0,0,0,x,1,0.6934537,None,0,0,0,0,,,,,0.0152426,,0.0104724,0.0152426,1.0014219,1.0014219,1.0014219,1.0014219,1.01825,2.0009251,2.0009251,2.7097509,x,1,0.6934537,None,,,,,F5,1,2025-10-02_16h50.09.582,Motor sequence,,2025.1.1,60.12954309,2025-10-02 16h50.17.819326 +0530
150,v,1,1,0,v,1,0.414003,None,0,1,1,1,,,,,2.7182238,,2.7102352,2.7182238,3.7177045,3.7177045,3.7177045,3.7177045,3.7177045,4.7178004,4.7178004,5.1348952,v,1,0.414003,None,,,,,F5,1,2025-10-02_16h50.09.582,Motor sequence,,2025.1.1,60.12954309,2025-10-02 16h50.17.819326 +0530
50,c,2,2,0,c,1,1.1470176,None,0,2,2,2,,,,,5.1512293,,5.1353992,5.1512293,6.1344789,6.1344789,6.1344789,6.1344789,6.1510196,7.1342812,7.1342812,8.2851735,c,1,1.1470176,None,,,,,F5,1,2025-10-02_16h50.09.582,Motor sequence,,2025.1.1,60.12954309,2025-10-02 16h50.17.819326 +0530
-150,z,3,3,0,z,1,0.3315907,None,0,3,3,3,,,,,8.3010649,,8.2856436,8.3010649,9.2843578,9.2843578,9.2843578,9.2843578,9.300996,10.3010863,10.3010863,10.6345797,z,1,0.3315907,None,,,,,F5,1,2025-10-02_16h50.09.582,Motor sequence,,2025.1.1,60.12954309,2025-10-02 16h50.17.819326 +0530
-50,x,4,0,1,x,1,0.3466047,None,1,0,4,0,,,,,10.6508451,,10.6350334,10.6508451,11.6341076,11.6341076,11.6341076,11.6341076,11.6508983,12.6341318,12.6341318,12.9845473,x,1,0.3466047,None,,,,,F5,1,2025-10-02_16h50.09.582,Motor sequence,,2025.1.1,60.12954309,2025-10-02 16h50.17.819326 +0530
150,v,5,1,1,v,1,0.4184086,None,1,1,5,1,,,,,13.0006801,,12.984998,13.0006801,13.9839143,13.9839143,13.9839143,13.9839143,14.0007329,14.9840118,14.9840118,15.4178497,v,1,0.4184086,None,,,,,F5,1,2025-10-02_16h50.09.582,Motor sequence,,2025.1.1,60.12954309,2025-10-02 16h50.17.819326 +0530
50,c,6,2,1,c,1,0.5633399,None,1,2,6,2,,,,,15.4338144,,15.4183042,15.4338144,16.4337536,16.4337536,16.4337536,16.4337536,16.4337536,17.4170877,17.4170877,17.984298,c,1,0.5633399,None,,,,,F5,1,2025-10-02_16h50.09.582,Motor sequence,,2025.1.1,60.12954309,2025-10-02 16h50.17.819326 +0530
-150,z,7,3,1,z,1,0.4803691,None,1,3,7,3,,,,,18.0002392,,17.9847751,18.0002392,18.9835785,18.9835785,18.9835785,18.9835785,19.0004255,19.9836619,19.9836619,20.4677681,z,1,0.4803691,None,,,,,F5,1,2025-10-02_16h50.09.582,Motor sequence,,2025.1.1,60.12954309,2025-10-02 16h50.17.819326 +0530
-50,x,8,0,2,x,1,0.3883053,None,2,0,8,0,,,,,20.4851497,,20.4683845,20.4851497,21.4671446,21.4671446,21.4671446,21.4671446,21.5001748,22.4668594,22.4668594,22.867413,x,1,0.3883053,None,,,,,F5,1,2025-10-02_16h50.09.582,Motor sequence,,2025.1.1,60.12954309,2025-10-02 16h50.17.819326 +0530
150,v,9,1,2,v,1,0.3307699,None,2,1,9,1,,,,,22.8833132,,22.8678779,22.8833132,23.8669092,23.8669092,23.8669092,23.8669092,23.8832364,24.8668811,24.8668811,25.2008717,v,1,0.3307699,None,,,,,F5,1,2025-10-02_16h50.09.582,Motor sequence,,2025.1.1,60.12954309,2025-10-02 16h50.17.819326 +0530
50,c,10,2,2,c,1,0.2898252,None,2,2,10,2,,,,,25.2167647,,25.2013404,25.2167647,26.2004619,26.2004619,26.2004619,26.2004619,26.2165601,27.2000137,27.2000137,27.5005131,c,1,0.2898252,None,,,,,F5,1,2025-10-02_16h50.09.582,Motor sequence,,2025.1.1,60.12954309,2025-10-02 16h50.17.819326 +0530
-150,z,11,3,2,z,1,0.2521942,None,2,3,11,3,,,,,27.5165991,,27.5010264,27.5165991,28.5000891,28.5000891,28.5000891,28.5000891,28.5165226,29.4999813,29.4999813,29.76697,z,1,0.2521942,None,,,,,F5,1,2025-10-02_16h50.09.582,Motor sequence,,2025.1.1,60.12954309,2025-10-02 16h50.17.819326 +0530
-50,x,12,0,3,x,1,0.3399463,None,3,0,12,0,,,,,29.7834697,,29.767424,29.7834697,30.7666639,30.7666639,30.7666639,30.7666639,30.7826931,31.7663032,31.7663032,32.1169349,x,1,0.3399463,None,,,,,F5,1,2025-10-02_16h50.09.582,Motor sequence,,2025.1.1,60.12954309,2025-10-02 16h50.17.819326 +0530
150,v,13,1,3,v,1,0.2190708,None,3,1,13,1,,,,,32.1329416,,32.1173854,32.1329416,33.1166874,33.1166874,33.1166874,33.1166874,33.1328757,34.1329566,34.1329566,34.3669943,v,1,0.2190708,None,,,,,F5,1,2025-10-02_16h50.09.582,Motor sequence,,2025.1.1,60.12954309,2025-10-02 16h50.17.819326 +0530
50,c,14,2,3,c,1,0.2467731,None,3,2,14,2,,,,,34.3828793,,34.3674625,34.3828793,35.3666169,35.3666169,35.3666169,35.3666169,35.3826387,36.3827849,36.3827849,36.6330193,c,1,0.2467731,None,,,,,F5,1,2025-10-02_16h50.09.582,Motor sequence,,2025.1.1,60.12954309,2025-10-02 16h50.17.819326 +0530
-150,z,15,3,3,z,1,0.3646007,None,3,3,15,3,,,,,36.6496948,,36.6334702,36.6496948,37.6329343,37.6329343,37.6329343,37.6329343,37.6493367,38.6325281,38.6325281,38.9998342,z,1,0.3646007,None,,,,,F5,1,2025-10-02_16h50.09.582,Motor sequence,,2025.1.1,60.12954309,2025-10-02 16h50.17.819326 +0530
-50,x,16,0,4,x,1,0.2856432,None,4,0,16,0,,,,,39.0158188,,39.0005394,39.0158188,39.9992743,39.9992743,39.9992743,39.9992743,40.0156471,40.99927,40.99927,41.2994292,x,1,0.2856432,None,,,,,F5,1,2025-10-02_16h50.09.582,Motor sequence,,2025.1.1,60.12954309,2025-10-02 16h50.17.819326 +0530
150,v,17,1,4,v,1,0.3239432,None,4,1,17,1,,,,,41.3158722,,41.2999621,41.3158722,42.2992102,42.2992102,42.2992102,42.2992102,42.31552,43.2990064,43.2990064,43.6330161,v,1,0.3239432,None,,,,,F5,1,2025-10-02_16h50.09.582,Motor sequence,,2025.1.1,60.12954309,2025-10-02 16h50.17.819326 +0530
50,c,18,2,4,c,1,0.2616295,None,4,2,18,2,,,,,43.6491321,,43.6335352,43.6491321,44.6322188,44.6322188,44.6322188,44.6322188,44.6487326,45.6322247,45.6322247,45.8994133,c,1,0.2616295,None,,,,,F5,1,2025-10-02_16h50.09.582,Motor sequence,,2025.1.1,60.12954309,2025-10-02 16h50.17.819326 +0530
-150,z,19,3,4,z,1,0.2825449,None,4,3,19,3,,,,,45.9154591,,45.8999573,45.9154591,46.8989275,46.8989275,46.8989275,46.8989275,46.9152594,47.8988474,47.8988474,48.1992887,z,1,0.2825449,None,,,,,F5,1,2025-10-02_16h50.09.582,Motor sequence,,2025.1.1,60.12954309,2025-10-02 16h50.17.819326 +0530
-50,x,20,0,5,x,1,0.1540803,None,5,0,20,0,,,,,48.2153448,,48.1997417,48.2153448,49.1985803,49.1985803,49.1985803,49.1985803,49.2152124,50.2154005,50.2154005,50.3826809,x,1,0.1540803,None,,,,,F5,1,2025-10-02_16h50.09.582,Motor sequence,,2025.1.1,60.12954309,2025-10-02 16h50.17.819326 +0530
150,v,21,1,5,v,1,0.3782976,None,5,1,21,1,,,,,50.398507,,50.3831413,50.398507,51.3819755,51.3819755,51.3819755,51.3819755,51.3986474,52.3982651,52.3982651,52.7823934,v,1,0.3782976,None,,,,,F5,1,2025-10-02_16h50.09.582,Motor sequence,,2025.1.1,60.12954309,2025-10-02 16h50.17.819326 +0530
50,c,22,2,5,c,1,0.4024969,None,5,2,22,2,,,,,52.7984334,,52.7829132,52.7984334,53.7814829,53.7814829,53.7814829,53.7814829,53.7979297,54.781317,54.781317,55.1991712,c,1,0.4024969,None,,,,,F5,1,2025-10-02_16h50.09.582,Motor sequence,,2025.1.1,60.12954309,2025-10-02 16h50.17.819326 +0530
-150,z,23,3,5,z,1,0.2775456,None,5,3,23,3,,,,,55.2150534,,55.1996294,55.2150534,56.2147956,56.2147956,56.2147956,56.2147956,56.2147956,57.2146747,57.2146747,57.4985913,z,1,0.2775456,None,,,,,F5,1,2025-10-02_16h50.09.582,Motor sequence,,2025.1.1,60.12954309,2025-10-02 16h50.17.819326 +0530
-50,x,24,0,6,x,1,0.7735417,None,6,0,24,0,,,,,57.5147356,,57.4993116,57.5147356,58.4981843,58.4981843,58.4981843,58.4981843,58.5148873,59.497786,59.497786,60.281853,x,1,0.7735417,None,,,,,F5,1,2025-10-02_16h50.09.582,Motor sequence,,2025.1.1,60.12954309,2025-10-02 16h50.17.819326 +0530
150,v,25,1,6,v,1,0.2844017,None,6,1,25,1,,,,,60.2979679,,60.2826139,60.2979679,61.2810854,61.2810854,61.2810854,61.2810854,61.2975028,62.2974998,62.2974998,62.598294,v,1,0.2844017,None,,,,,F5,1,2025-10-02_16h50.09.582,Motor sequence,,2025.1.1,60.12954309,2025-10-02 16h50.17.819326 +0530
50,c,26,2,6,c,1,0.4426778,None,6,2,26,2,,,,,62.6145229,,62.5987566,62.6145229,63.5977763,63.5977763,63.5977763,63.5977763,63.6145968,64.5978809,64.5978809,65.0481223,c,1,0.4426778,None,,,,,F5,1,2025-10-02_16h50.09.582,Motor sequence,,2025.1.1,60.12954309,2025-10-02 16h50.17.819326 +0530
-150,z,27,3,6,z,1,0.2721267,None,6,3,27,3,,,,,65.0645646,,65.0485798,65.0645646,66.0479861,66.0479861,66.0479861,66.0479861,66.06447,67.0476731,67.0476731,67.331317,z,1,0.2721267,None,,,,,F5,1,2025-10-02_16h50.09.582,Motor sequence,,2025.1.1,60.12954309,2025-10-02 16h50.17.819326 +0530
