thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
0,0,0,up,1,2.1395921,None,0,0,0,0,0,0.0319594,,0.0174338,0.0319594,1.02231,1.0315257,3.1695937,up,1,2.1395921,None,0,Final Exp,1,2025-09-10_17h58.24.541,Orientation Discrimination Task,,2025.1.1,59.97325193,2025-09-10 17h59.01.002646 +0530
1,0,1,down,1,1.1170329,None,2,1,0,1,0,3.1816766,,3.1697921,3.1816766,4.1819468,4.1819468,5.3012337,down,1,1.1170329,None,2,Final Exp,1,2025-09-10_17h58.24.541,Orientation Discrimination Task,,2025.1.1,59.97325193,2025-09-10 17h59.01.002646 +0530
2,0,2,down,1,0.7506658,None,4,2,0,2,0,5.3152909,,5.3014817,5.3152909,6.3151004,6.3151004,7.0684045,down,1,0.7506658,None,4,Final Exp,1,2025-09-10_17h58.24.541,Orientation Discrimination Task,,2025.1.1,59.97325193,2025-09-10 17h59.01.002646 +0530
3,0,3,down,1,1.4212011,None,0,3,0,3,0,7.081691,,7.0686159,7.081691,8.0821418,8.0821418,9.5179271,down,1,1.4212011,None,0,Final Exp,1,2025-09-10_17h58.24.541,Orientation Discrimination Task,,2025.1.1,59.97325193,2025-09-10 17h59.01.002646 +0530
4,0,4,down,1,0.7188367,None,-5,4,0,4,0,9.5316971,,9.5181364,9.5316971,10.5311899,10.5311899,11.2517291,down,1,0.7188367,None,-5,Final Exp,1,2025-09-10_17h58.24.541,Orientation Discrimination Task,,2025.1.1,59.97325193,2025-09-10 17h59.01.002646 +0530
5,0,5,up,1,0.7922295,None,0,5,0,5,0,11.2646947,,11.2519698,11.2646947,12.2652603,12.2652603,13.067794,up,1,0.7922295,None,0,Final Exp,1,2025-09-10_17h58.24.541,Orientation Discrimination Task,,2025.1.1,59.97325193,2025-09-10 17h59.01.002646 +0530
6,0,6,up,1,0.6678019,None,0,6,0,6,0,13.0809796,,13.0679785,13.0809796,14.0815463,14.0815463,14.7515902,up,1,0.6678019,None,0,Final Exp,1,2025-09-10_17h58.24.541,Orientation Discrimination Task,,2025.1.1,59.97325193,2025-09-10 17h59.01.002646 +0530
7,0,7,down,1,0.7310532,None,3,7,0,7,0,14.7647151,,14.7518422,14.7647151,15.7647025,15.7647025,16.5011295,down,1,0.7310532,None,3,Final Exp,1,2025-09-10_17h58.24.541,Orientation Discrimination Task,,2025.1.1,59.97325193,2025-09-10 17h59.01.002646 +0530
8,0,8,up,1,0.7974593,None,0,8,0,8,0,16.5138264,,16.5013265,16.5138264,17.5145158,17.5145158,18.3167512,up,1,0.7974593,None,0,Final Exp,1,2025-09-10_17h58.24.541,Orientation Discrimination Task,,2025.1.1,59.97325193,2025-09-10 17h59.01.002646 +0530
9,0,9,down,1,2.4399501,None,4,9,0,9,0,18.3312217,,18.3169883,18.3312217,19.3313285,19.3313285,21.7853186,down,1,2.4399501,None,4,Final Exp,1,2025-09-10_17h58.24.541,Orientation Discrimination Task,,2025.1.1,59.97325193,2025-09-10 17h59.01.002646 +0530
