Face_file,Sound_file,Face_emotion,Sound_emotion,Congruency,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,key_instruct.started,Instruction.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,trial.started,Fixation.started,Image.started,key_resp.started,Sound.started,Fixation.stopped,Sound.stopped,Image.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
Face_file/Sad.jpg,Sound_file/Sad.wav,Sad,Sad,C,s,2,2,0,s,1,1.63678,None,0,2,2,2,28.8150001,,,,,,,,28.8127374,28.8150001,29.269846,29.269846,29.26991677,29.3199695,,,30.9205543,s,1,1.63678,None,P1,1,2025-11-19_16h48.21.250,Final Solo Project Psy310,,2025.1.1,59.98883008,2025-11-19 16h48.29.689644 +0530
Face_file/Anger.jpg,Sound_file/Anger.wav,Anger,Anger,C,a,6,6,0,a,1,1.4792464,None,0,6,6,0,37.7028973,,,,,,,,37.6907982,37.7028973,38.0359947,38.0359947,38.03584227,38.2024071,,,39.5202314,a,1,1.4792464,None,P1,1,2025-11-19_16h48.21.250,Final Solo Project Psy310,,2025.1.1,59.98883008,2025-11-19 16h48.29.689644 +0530
Face_file/Happy.jpg,Sound_file/Happy.wav,Happy,Happy,C,h,8,8,0,h,1,1.1628273,None,0,8,8,1,42.0416235,,,,,,,,42.0326289,42.0416235,42.3865782,42.3865782,42.38574737,42.5530534,,,43.5537866,h,1,1.1628273,None,P1,1,2025-11-19_16h48.21.250,Final Solo Project Psy310,,2025.1.1,59.98883008,2025-11-19 16h48.29.689644 +0530
Face_file/Sad.jpg,Sound_file/Sad.wav,Sad,Sad,C,s,10,1,1,s,1,1.3741674,None,1,1,10,2,46.1303061,,,,,,,,46.1174114,46.1303061,46.5856896,46.5856896,46.58550007,46.63567,,,47.9694223,s,1,1.3741674,None,P1,1,2025-11-19_16h48.21.250,Final Solo Project Psy310,,2025.1.1,59.98883008,2025-11-19 16h48.29.689644 +0530
Face_file/Happy.jpg,Sound_file/Happy.wav,Happy,Happy,C,h,12,3,1,h,1,0.9575482,None,1,3,12,1,50.1052928,,,,,,,,50.095428,50.1052928,50.4360312,50.4360312,50.43532857,50.6191395,,,51.4032484,h,1,0.9575482,None,P1,1,2025-11-19_16h48.21.250,Final Solo Project Psy310,,2025.1.1,59.98883008,2025-11-19 16h48.29.689644 +0530
Face_file/Anger.jpg,Sound_file/Anger.wav,Anger,Anger,C,a,13,4,1,a,1,1.4453967,None,1,4,13,0,51.5906478,,,,,,,,51.5777027,51.5906478,51.9353822,51.9353822,51.93498307,52.101717,,,53.3857557,a,1,1.4453967,None,P1,1,2025-11-19_16h48.21.250,Final Solo Project Psy310,,2025.1.1,59.98883008,2025-11-19 16h48.29.689644 +0530
Face_file/Happy.jpg,Sound_file/Happy.wav,Happy,Happy,C,h,19,1,2,h,1,1.2367604,None,2,1,19,1,64.8956766,,,,,,,,64.8873257,64.8956766,65.2183954,65.2183954,65.21762207,65.4014357,,,66.4689896,h,1,1.2367604,None,P1,1,2025-11-19_16h48.21.250,Final Solo Project Psy310,,2025.1.1,59.98883008,2025-11-19 16h48.29.689644 +0530
Face_file/Sad.jpg,Sound_file/Sad.wav,Sad,Sad,C,s,20,2,2,s,1,0.8717524,None,2,2,20,2,66.521306,,,,,,,,66.5083151,66.521306,66.9844166,66.9844166,66.98407707,67.0343094,,,67.8682828,s,1,0.8717524,None,P1,1,2025-11-19_16h48.21.250,Final Solo Project Psy310,,2025.1.1,59.98883008,2025-11-19 16h48.29.689644 +0530
Face_file/Anger.jpg,Sound_file/Anger.wav,Anger,Anger,C,a,23,5,2,a,1,1.1314175,None,2,5,23,0,72.5779373,,,,,,,,72.5749113,72.5779373,72.9171475,72.9171475,72.91705727,73.0838618,,,74.0511595,a,1,1.1314175,None,P1,1,2025-11-19_16h48.21.250,Final Solo Project Psy310,,2025.1.1,59.98883008,2025-11-19 16h48.29.689644 +0530
Face_file/Happy.jpg,Sound_file/Happy.wav,Happy,Happy,C,h,27,0,3,h,1,1.2831508,None,3,0,27,1,79.3573326,,,,,,,,79.349005,79.3573326,79.6675406,79.6675406,79.66681057,79.8671675,,,80.9515241,h,1,1.2831508,None,P1,1,2025-11-19_16h48.21.250,Final Solo Project Psy310,,2025.1.1,59.98883008,2025-11-19 16h48.29.689644 +0530
Face_file/Sad.jpg,Sound_file/Sad.wav,Sad,Sad,C,s,28,1,3,a,0,2.2231081,None,3,1,28,2,81.008509,,,,,,,,80.996621,81.008509,81.4668354,81.4668354,81.46668217,81.516628,83.4662228,83.4662228,83.7001992,a,0,2.2231081,None,P1,1,2025-11-19_16h48.21.250,Final Solo Project Psy310,,2025.1.1,59.98883008,2025-11-19 16h48.29.689644 +0530
Face_file/Anger.jpg,Sound_file/Anger.wav,Anger,Anger,C,a,33,6,3,a,1,1.1663339,None,3,6,33,0,93.0232899,,,,,,,,93.0111195,93.0232899,93.3491912,93.3491912,93.34926607,93.5325868,,,94.5166424,a,1,1.1663339,None,P1,1,2025-11-19_16h48.21.250,Final Solo Project Psy310,,2025.1.1,59.98883008,2025-11-19 16h48.29.689644 +0530
Face_file/Anger.jpg,Sound_file/Anger.wav,Anger,Anger,C,a,38,2,4,a,1,1.2209202,None,4,2,38,0,103.5357298,,,,,,,,103.5336635,103.5357298,103.8821479,103.8821479,103.8817681,104.0486106,,,105.115831,a,1,1.2209202,None,P1,1,2025-11-19_16h48.21.250,Final Solo Project Psy310,,2025.1.1,59.98883008,2025-11-19 16h48.29.689644 +0530
Face_file/Happy.jpg,Sound_file/Happy.wav,Happy,Happy,C,h,42,6,4,h,1,1.0885569,None,4,6,42,1,110.3624177,,,,,,,,110.3527595,110.3624177,110.6822566,110.6822566,110.6813981,110.8653788,,,111.7825888,h,1,1.0885569,None,P1,1,2025-11-19_16h48.21.250,Final Solo Project Psy310,,2025.1.1,59.98883008,2025-11-19 16h48.29.689644 +0530
Face_file/Sad.jpg,Sound_file/Sad.wav,Sad,Sad,C,s,43,7,4,s,1,1.6292585,None,4,7,43,2,111.8255076,,,,,,,,111.812281,111.8255076,112.2978559,112.2978559,112.2977758,112.3311674,,,113.9316924,s,1,1.6292585,None,P1,1,2025-11-19_16h48.21.250,Final Solo Project Psy310,,2025.1.1,59.98883008,2025-11-19 16h48.29.689644 +0530
Face_file/Happy.jpg,Sound_file/Happy.wav,Happy,Happy,C,h,46,1,5,h,1,2.8406218,None,5,1,46,1,118.426142,,,,,,,,118.4177024,118.426142,118.7650845,118.7650845,118.7642491,118.9318333,120.7744681,120.7744681,121.6145521,h,1,2.8406218,None,P1,1,2025-11-19_16h48.21.250,Final Solo Project Psy310,,2025.1.1,59.98883008,2025-11-19 16h48.29.689644 +0530
Face_file/Sad.jpg,Sound_file/Sad.wav,Sad,Sad,C,s,47,2,5,s,1,2.2796418,None,5,2,47,2,121.6508054,,,,,,,,121.6385303,121.6508054,122.1141967,122.1141967,122.114171,122.1640968,124.1185544,124.1185544,124.3978862,s,1,2.2796418,None,P1,1,2025-11-19_16h48.21.250,Final Solo Project Psy310,,2025.1.1,59.98883008,2025-11-19 16h48.29.689644 +0530
Face_file/Anger.jpg,Sound_file/Anger.wav,Anger,Anger,C,a,48,3,5,a,1,1.7187282,None,5,3,48,0,124.5618503,,,,,,,,124.558409,124.5618503,124.8973881,124.8973881,124.8971212,125.063792,,,126.6307327,a,1,1.7187282,None,P1,1,2025-11-19_16h48.21.250,Final Solo Project Psy310,,2025.1.1,59.98883008,2025-11-19 16h48.29.689644 +0530
Face_file/Sad.jpg,Sound_file/Sad.wav,Sad,Sad,C,s,54,0,6,s,1,1.2473718,None,6,0,54,2,134.4392672,,,,,,,,134.4366685,134.4392672,134.9301502,134.9301502,134.9297842,134.9465679,,,136.1805582,s,1,1.2473718,None,P1,1,2025-11-19_16h48.21.250,Final Solo Project Psy310,,2025.1.1,59.98883008,2025-11-19 16h48.29.689644 +0530
Face_file/Happy.jpg,Sound_file/Happy.wav,Happy,Happy,C,h,59,5,6,h,1,1.2481381,None,6,5,59,1,143.6001545,,,,,,,,143.5912769,143.6001545,143.9300513,143.9300513,143.9293799,144.1133354,,,145.1804489,h,1,1.2481381,None,P1,1,2025-11-19_16h48.21.250,Final Solo Project Psy310,,2025.1.1,59.98883008,2025-11-19 16h48.29.689644 +0530
Face_file/Anger.jpg,Sound_file/Anger.wav,Anger,Anger,C,a,61,7,6,a,1,1.1509497,None,6,7,61,0,148.5585999,,,,,,,,148.5562632,148.5585999,148.9126224,148.9126224,148.9124151,149.0624883,,,150.0793049,a,1,1.1509497,None,P1,1,2025-11-19_16h48.21.250,Final Solo Project Psy310,,2025.1.1,59.98883008,2025-11-19 16h48.29.689644 +0530
Face_file/Anger.jpg,Sound_file/Anger.wav,Anger,Anger,C,a,65,2,7,a,1,1.4622644,None,7,2,65,0,156.0381131,,,,,,,,156.0264779,156.0381131,156.3619854,156.3619854,156.3619664,156.5450477,,,157.8294019,a,1,1.4622644,None,P1,1,2025-11-19_16h48.21.250,Final Solo Project Psy310,,2025.1.1,59.98883008,2025-11-19 16h48.29.689644 +0530
Face_file/Happy.jpg,Sound_file/Happy.wav,Happy,Happy,C,h,67,4,7,h,1,1.3180577,None,7,4,67,1,159.8458661,,,,,,,,159.8370898,159.8458661,160.1790203,160.1790203,160.178433,160.3455587,,,161.5130001,h,1,1.3180577,None,P1,1,2025-11-19_16h48.21.250,Final Solo Project Psy310,,2025.1.1,59.98883008,2025-11-19 16h48.29.689644 +0530
Face_file/Sad.jpg,Sound_file/Sad.wav,Sad,Sad,C,s,71,8,7,s,1,0.9618349,None,7,8,71,2,166.5028337,,,,,,,,166.5006783,166.5028337,166.978099,166.978099,166.9780399,167.0114471,,,167.9452549,s,1,0.9618349,None,P1,1,2025-11-19_16h48.21.250,Final Solo Project Psy310,,2025.1.1,59.98883008,2025-11-19 16h48.29.689644 +0530
