reward_today,future_reward,delay,,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
78,80,162,1,0,0,0,l,10.5815854,None,0,0,0,6,0.0648591,,0.0630008,0.0648591,1.0108039,1.0108039,1.0774864,11.6001549,l,10.5815854,None,p1,1,2025-10-31_18h05.47.194,Delay discounting,,2025.1.1,59.96034223,2025-10-31 18h05.53.326803 +0530
11,30,7,2,1,1,0,l,1.570966,None,0,1,1,0,11.6098863,,11.6046846,11.6098863,12.6103272,12.6103272,12.6103272,14.1941009,l,1.570966,None,p1,1,2025-10-31_18h05.47.194,Delay discounting,,2025.1.1,59.96034223,2025-10-31 18h05.53.326803 +0530
40,55,62,3,2,2,0,l,1.3610998,None,0,2,2,3,14.2099667,,14.2002678,14.2099667,15.1934018,15.1934018,15.2101742,16.5602698,l,1.3610998,None,p1,1,2025-10-31_18h05.47.194,Delay discounting,,2025.1.1,59.96034223,2025-10-31 18h05.53.326803 +0530
15,35,13,4,3,3,0,t,5.6105607,None,0,3,3,1,16.5762898,,16.5648287,16.5762898,17.5598813,17.5598813,17.5764569,23.1768165,t,5.6105607,None,p1,1,2025-10-31_18h05.47.194,Delay discounting,,2025.1.1,59.96034223,2025-10-31 18h05.53.326803 +0530
49,60,89,5,4,4,0,t,1.6780864,None,0,4,4,4,23.1928169,,23.1832761,23.1928169,24.1761766,24.1761766,24.1927047,25.8599933,t,1.6780864,None,p1,1,2025-10-31_18h05.47.194,Delay discounting,,2025.1.1,59.96034223,2025-10-31 18h05.53.326803 +0530
67,75,119,6,5,5,0,t,1.5735123,None,0,5,5,5,25.8759217,,25.8649838,25.8759217,26.8594112,26.8594112,26.8760373,28.4430677,t,1.5735123,None,p1,1,2025-10-31_18h05.47.194,Delay discounting,,2025.1.1,59.96034223,2025-10-31 18h05.53.326803 +0530
27,50,21,7,6,6,0,t,1.5345837,None,0,6,6,2,28.4591179,,28.4479872,28.4591179,29.4424694,29.4424694,29.4591845,30.9930512,t,1.5345837,None,p1,1,2025-10-31_18h05.47.194,Delay discounting,,2025.1.1,59.96034223,2025-10-31 18h05.53.326803 +0530
11,30,7,8,7,0,1,l,1.7393738,None,1,0,7,0,31.0090267,,30.9980736,31.0090267,31.9925136,31.9925136,32.0091178,33.7428063,l,1.7393738,None,p1,1,2025-10-31_18h05.47.194,Delay discounting,,2025.1.1,59.96034223,2025-10-31 18h05.53.326803 +0530
49,60,89,9,8,1,1,t,0.996852,None,1,1,8,4,33.758976,,33.7477588,33.758976,34.7422858,34.7422858,34.7589365,35.7427205,t,0.996852,None,p1,1,2025-10-31_18h05.47.194,Delay discounting,,2025.1.1,59.96034223,2025-10-31 18h05.53.326803 +0530
27,50,21,10,9,2,1,t,5.0265791,None,1,2,9,2,35.7585294,,35.7468426,35.7585294,36.7422798,36.7422798,36.7587586,41.7755545,t,5.0265791,None,p1,1,2025-10-31_18h05.47.194,Delay discounting,,2025.1.1,59.96034223,2025-10-31 18h05.53.326803 +0530
78,80,162,11,10,3,1,t,2.4752427,None,1,3,10,6,41.7916698,,41.7805661,41.7916698,42.775145,42.775145,42.7916621,45.2588883,t,2.4752427,None,p1,1,2025-10-31_18h05.47.194,Delay discounting,,2025.1.1,59.96034223,2025-10-31 18h05.53.326803 +0530
67,75,119,12,11,4,1,t,1.560628,None,1,4,11,5,45.2748129,,45.2642837,45.2748129,46.2581169,46.2581169,46.2746217,47.8252233,t,1.560628,None,p1,1,2025-10-31_18h05.47.194,Delay discounting,,2025.1.1,59.96034223,2025-10-31 18h05.53.326803 +0530
40,55,62,13,12,5,1,t,0.9722645,None,1,5,12,3,47.8412633,,47.8301131,47.8412633,48.8246392,48.8246392,48.8413343,49.8084316,t,0.9722645,None,p1,1,2025-10-31_18h05.47.194,Delay discounting,,2025.1.1,59.96034223,2025-10-31 18h05.53.326803 +0530
15,35,13,14,13,6,1,l,1.1278295,None,1,6,13,1,49.824519,,49.8135887,49.824519,50.8077939,50.8077939,50.8245268,51.9417029,l,1.1278295,None,p1,1,2025-10-31_18h05.47.194,Delay discounting,,2025.1.1,59.96034223,2025-10-31 18h05.53.326803 +0530
11,30,7,15,14,0,2,l,2.1661543,None,2,0,14,0,51.9576381,,51.9469703,51.9576381,52.9411252,52.9411252,52.957759,55.1248342,l,2.1661543,None,p1,1,2025-10-31_18h05.47.194,Delay discounting,,2025.1.1,59.96034223,2025-10-31 18h05.53.326803 +0530
67,75,119,16,15,1,2,t,0.7846638,None,2,1,15,5,55.1407484,,55.1300188,55.1407484,56.1242532,56.1242532,56.1409404,56.9247265,t,0.7846638,None,p1,1,2025-10-31_18h05.47.194,Delay discounting,,2025.1.1,59.96034223,2025-10-31 18h05.53.326803 +0530
40,55,62,17,16,2,2,t,1.914385,None,2,2,16,3,56.9407547,,56.929685,56.9407547,57.9241793,57.9241793,57.940959,59.8410487,t,1.914385,None,p1,1,2025-10-31_18h05.47.194,Delay discounting,,2025.1.1,59.96034223,2025-10-31 18h05.53.326803 +0530
27,50,21,18,17,3,2,t,3.9061513,None,2,3,17,2,59.857339,,59.8470056,59.857339,60.8407101,60.8407101,60.8573522,64.7576618,t,3.9061513,None,p1,1,2025-10-31_18h05.47.194,Delay discounting,,2025.1.1,59.96034223,2025-10-31 18h05.53.326803 +0530
15,35,13,19,18,4,2,l,1.6798299,None,2,4,18,1,64.7735929,,64.7631088,64.7735929,65.7570884,65.7570884,65.7733529,67.4407424,l,1.6798299,None,p1,1,2025-10-31_18h05.47.194,Delay discounting,,2025.1.1,59.96034223,2025-10-31 18h05.53.326803 +0530
49,60,89,20,19,5,2,t,1.4851013,None,2,5,19,4,67.4565697,,67.4453237,67.4565697,68.4402898,68.4402898,68.456786,69.9406933,t,1.4851013,None,p1,1,2025-10-31_18h05.47.194,Delay discounting,,2025.1.1,59.96034223,2025-10-31 18h05.53.326803 +0530
78,80,162,21,20,6,2,t,0.8938273,None,2,6,20,6,69.9566565,,69.9445301,69.9566565,70.9401458,70.9401458,70.9568205,71.8405547,t,0.8938273,None,p1,1,2025-10-31_18h05.47.194,Delay discounting,,2025.1.1,59.96034223,2025-10-31 18h05.53.326803 +0530
67,75,119,22,21,0,3,t,1.2629892,None,3,0,21,5,71.8564505,,71.8456847,71.8564505,72.8400098,72.8400098,72.8566415,74.1071011,t,1.2629892,None,p1,1,2025-10-31_18h05.47.194,Delay discounting,,2025.1.1,59.96034223,2025-10-31 18h05.53.326803 +0530
78,80,162,23,22,1,3,t,0.75858,None,3,1,22,6,74.1230855,,74.1109385,74.1230855,75.1065874,75.1065874,75.1229528,75.8735229,t,0.75858,None,p1,1,2025-10-31_18h05.47.194,Delay discounting,,2025.1.1,59.96034223,2025-10-31 18h05.53.326803 +0530
11,30,7,24,23,2,3,l,1.2916822,None,3,2,23,0,75.8897682,,75.8791011,75.8897682,76.8730959,76.8730959,76.8897774,78.1733589,l,1.2916822,None,p1,1,2025-10-31_18h05.47.194,Delay discounting,,2025.1.1,59.96034223,2025-10-31 18h05.53.326803 +0530
27,50,21,25,24,3,3,t,2.8782493,None,3,3,24,2,78.1897245,,78.1772415,78.1897245,79.1727837,79.1727837,79.1896005,82.0565659,t,2.8782493,None,p1,1,2025-10-31_18h05.47.194,Delay discounting,,2025.1.1,59.96034223,2025-10-31 18h05.53.326803 +0530
40,55,62,26,25,4,3,l,1.0174044,None,3,4,25,3,82.0726511,,82.0622671,82.0726511,83.0560858,83.0560858,83.0726501,84.0897823,l,1.0174044,None,p1,1,2025-10-31_18h05.47.194,Delay discounting,,2025.1.1,59.96034223,2025-10-31 18h05.53.326803 +0530
