reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
15,35,13,0,0,0,t,8.0320371,None,0,0,0,1,0.0571755,,0.0553149,0.0571755,1.0117763,1.0117763,1.0617244,9.0520633,t,8.0320371,None,p3,1,2025-10-31_18h23.06.695,Delay discounting,,2025.1.1,59.97371952,2025-10-31 18h23.13.079611 +0530
49,60,89,1,1,0,t,1.7276765,None,0,1,1,4,9.0608754,,9.0570654,9.0608754,10.0612391,10.0612391,10.0612391,11.7952243,t,1.7276765,None,p3,1,2025-10-31_18h23.06.695,Delay discounting,,2025.1.1,59.97371952,2025-10-31 18h23.13.079611 +0530
78,80,162,2,2,0,t,1.2711106,None,0,2,2,6,11.8108325,,11.8020457,11.8108325,12.7944825,12.7944825,12.8109332,14.0785191,t,1.2711106,None,p3,1,2025-10-31_18h23.06.695,Delay discounting,,2025.1.1,59.97371952,2025-10-31 18h23.13.079611 +0530
11,30,7,3,3,0,l,1.3791184,None,0,3,3,0,14.0939793,,14.0839466,14.0939793,15.0937893,15.0937893,15.0937893,16.4776968,l,1.3791184,None,p3,1,2025-10-31_18h23.06.695,Delay discounting,,2025.1.1,59.97371952,2025-10-31 18h23.13.079611 +0530
27,50,21,4,4,0,l,2.5349548,None,0,4,4,2,16.4937141,,16.480002,16.4937141,17.4771777,17.4771777,17.493902,20.0279071,l,2.5349548,None,p3,1,2025-10-31_18h23.06.695,Delay discounting,,2025.1.1,59.97371952,2025-10-31 18h23.13.079611 +0530
40,55,62,5,5,0,t,2.1984392,None,0,5,5,3,20.0437777,,20.0328702,20.0437777,21.0435438,21.0435438,21.0435438,23.244042,t,2.1984392,None,p3,1,2025-10-31_18h23.06.695,Delay discounting,,2025.1.1,59.97371952,2025-10-31 18h23.13.079611 +0530
67,75,119,6,6,0,t,2.3263482,None,0,6,6,5,23.2603337,,23.2490914,23.2603337,24.2438169,24.2438169,24.2603512,26.5774395,t,2.3263482,None,p3,1,2025-10-31_18h23.06.695,Delay discounting,,2025.1.1,59.97371952,2025-10-31 18h23.13.079611 +0530
27,50,21,7,0,1,l,1.9324327,None,1,0,7,2,26.5932782,,26.5823933,26.5932782,27.5769732,27.5769732,27.5935534,29.5272771,l,1.9324327,None,p3,1,2025-10-31_18h23.06.695,Delay discounting,,2025.1.1,59.97371952,2025-10-31 18h23.13.079611 +0530
49,60,89,8,1,1,t,3.6433811,None,1,1,8,4,29.5431479,,29.5310005,29.5431479,30.5266973,30.5266973,30.5432641,34.1768951,t,3.6433811,None,p3,1,2025-10-31_18h23.06.695,Delay discounting,,2025.1.1,59.97371952,2025-10-31 18h23.13.079611 +0530
11,30,7,9,2,1,l,1.5308636,None,1,2,9,0,34.1928459,,34.1822665,34.1928459,35.1763058,35.1763058,35.1929483,36.7095155,l,1.5308636,None,p3,1,2025-10-31_18h23.06.695,Delay discounting,,2025.1.1,59.97371952,2025-10-31 18h23.13.079611 +0530
78,80,162,10,3,1,t,1.4004799,None,1,3,10,6,36.7260562,,36.7115265,36.7260562,37.7095837,37.7095837,37.7262169,39.1267047,t,1.4004799,None,p3,1,2025-10-31_18h23.06.695,Delay discounting,,2025.1.1,59.97371952,2025-10-31 18h23.13.079611 +0530
67,75,119,11,4,1,l,1.1475979,None,1,4,11,5,39.1426095,,39.1316447,39.1426095,40.1258775,40.1258775,40.1424969,41.2765393,l,1.1475979,None,p3,1,2025-10-31_18h23.06.695,Delay discounting,,2025.1.1,59.97371952,2025-10-31 18h23.13.079611 +0530
40,55,62,12,5,1,t,3.6124738,None,1,5,12,3,41.2926353,,41.2817284,41.2926353,42.2758509,42.2758509,42.292475,45.8927865,t,3.6124738,None,p3,1,2025-10-31_18h23.06.695,Delay discounting,,2025.1.1,59.97371952,2025-10-31 18h23.13.079611 +0530
15,35,13,13,6,1,l,1.1337092,None,1,6,13,1,45.9086297,,45.8978554,45.9086297,46.8922639,46.8922639,46.9087627,48.0428289,l,1.1337092,None,p3,1,2025-10-31_18h23.06.695,Delay discounting,,2025.1.1,59.97371952,2025-10-31 18h23.13.079611 +0530
78,80,162,14,0,2,t,1.0660647,None,2,0,14,6,48.0587203,,48.0480499,48.0587203,49.0421807,49.0421807,49.0587472,50.1094263,t,1.0660647,None,p3,1,2025-10-31_18h23.06.695,Delay discounting,,2025.1.1,59.97371952,2025-10-31 18h23.13.079611 +0530
