Face_file,Sound_file,Face_emotion,Sound_emotion,Congruency,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,key_instruct.started,Instruction.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,trial.started,Fixation.started,Image.started,key_resp.started,Sound.started,Fixation.stopped,Sound.stopped,Image.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
Face_file/Anger.jpg,Sound_file/Anger.wav,Anger,Anger,C,a,1,1,0,a,1,3.5717845,None,0,1,1,0,7.6558129,,,,,,,,7.6532054,7.6558129,7.931548,7.931548,7.931545467,8.1650178,9.9371454,9.9371454,11.5152416,a,1,3.5717845,None,p4,1,2025-11-20_11h02.34.759,Final Solo Project Psy310,,2025.1.1,59.89623576,2025-11-20 11h02.44.284646 +0530
Face_file/Sad.jpg,Sound_file/Sad.wav,Sad,Sad,C,s,5,5,0,s,1,1.6108319,None,0,5,5,2,18.3558279,,,,,,,,18.3538029,18.3558279,18.8307805,18.8307805,18.83051117,18.8641366,,,20.4478433,s,1,1.6108319,None,p4,1,2025-11-20_11h02.34.759,Final Solo Project Psy310,,2025.1.1,59.89623576,2025-11-20 11h02.44.284646 +0530
Face_file/Happy.jpg,Sound_file/Happy.wav,Happy,Happy,C,h,7,7,0,h,1,4.7033207,None,0,7,7,1,22.446209,,,,,,,,22.4356919,22.446209,22.7647076,22.7647076,22.76394767,22.9478972,24.7686306,24.7686306,27.4805571,h,1,4.7033207,None,p4,1,2025-11-20_11h02.34.759,Final Solo Project Psy310,,2025.1.1,59.89623576,2025-11-20 11h02.44.284646 +0530
Face_file/Sad.jpg,Sound_file/Sad.wav,Sad,Sad,C,s,10,1,1,s,1,1.8944877,None,1,1,10,2,31.7424177,,,,,,,,31.7388074,31.7424177,32.2299118,32.2299118,32.22990117,32.2466739,,,34.1305669,s,1,1.8944877,None,p4,1,2025-11-20_11h02.34.759,Final Solo Project Psy310,,2025.1.1,59.89623576,2025-11-20 11h02.44.284646 +0530
Face_file/Anger.jpg,Sound_file/Anger.wav,Anger,Anger,C,a,14,5,1,a,1,1.2631176,None,1,5,14,0,43.4910573,,,,,,,,43.4880329,43.4910573,43.7624639,43.7624639,43.76266987,43.9961188,,,45.0300485,a,1,1.2631176,None,p4,1,2025-11-20_11h02.34.759,Final Solo Project Psy310,,2025.1.1,59.89623576,2025-11-20 11h02.44.284646 +0530
Face_file/Happy.jpg,Sound_file/Happy.wav,Happy,Happy,C,h,17,8,1,h,1,2.666537,None,1,8,17,1,49.5033998,,,,,,,,49.4937997,49.5033998,49.8460466,49.8460466,49.84562587,50.0128234,51.8507135,51.8507135,52.5293903,h,1,2.666537,None,p4,1,2025-11-20_11h02.34.759,Final Solo Project Psy310,,2025.1.1,59.89623576,2025-11-20 11h02.44.284646 +0530
Face_file/Sad.jpg,Sound_file/Sad.wav,Sad,Sad,C,s,19,1,2,s,1,2.1920304,None,2,1,19,2,54.7718559,,,,,,,,54.7694659,54.7718559,55.245443,55.245443,55.24520397,55.2785393,57.2513922,57.2513922,57.4456574,s,1,2.1920304,None,p4,1,2025-11-20_11h02.34.759,Final Solo Project Psy310,,2025.1.1,59.89623576,2025-11-20 11h02.44.284646 +0530
Face_file/Happy.jpg,Sound_file/Happy.wav,Happy,Happy,C,h,23,5,2,h,1,1.2181,None,2,5,23,1,63.7842049,,,,,,,,63.7732526,63.7842049,64.111873,64.111873,64.11131327,64.2951436,,,65.3456432,h,1,1.2181,None,p4,1,2025-11-20_11h02.34.759,Final Solo Project Psy310,,2025.1.1,59.89623576,2025-11-20 11h02.44.284646 +0530
Face_file/Anger.jpg,Sound_file/Anger.wav,Anger,Anger,C,a,26,8,2,a,1,1.3494815,None,2,8,26,0,72.1471954,,,,,,,,72.1440362,72.1471954,72.4777822,72.4777822,72.47758317,72.660921,,,73.8281634,a,1,1.3494815,None,p4,1,2025-11-20_11h02.34.759,Final Solo Project Psy310,,2025.1.1,59.89623576,2025-11-20 11h02.44.284646 +0530
Face_file/Sad.jpg,Sound_file/Sad.wav,Sad,Sad,C,s,29,2,3,s,1,1.267533,None,3,2,29,2,78.2733572,,,,,,,,78.2701624,78.2733572,78.7604342,78.7604342,78.76037177,78.7768877,,,80.0443751,s,1,1.267533,None,p4,1,2025-11-20_11h02.34.759,Final Solo Project Psy310,,2025.1.1,59.89623576,2025-11-20 11h02.44.284646 +0530
Face_file/Anger.jpg,Sound_file/Anger.wav,Anger,Anger,C,a,32,5,3,a,1,2.33186,None,3,5,32,0,83.3003236,,,,,,,,83.2879627,83.3003236,83.6268685,83.6268685,83.62692107,83.8099069,85.6313048,85.6313048,85.960475,a,1,2.33186,None,p4,1,2025-11-20_11h02.34.759,Final Solo Project Psy310,,2025.1.1,59.89623576,2025-11-20 11h02.44.284646 +0530
Face_file/Happy.jpg,Sound_file/Happy.wav,Happy,Happy,C,h,35,8,3,h,1,1.3952069,None,3,8,35,1,90.2932094,,,,,,,,90.2844128,90.2932094,90.6438106,90.6438106,90.64303757,90.7936748,,,92.0442302,h,1,1.3952069,None,p4,1,2025-11-20_11h02.34.759,Final Solo Project Psy310,,2025.1.1,59.89623576,2025-11-20 11h02.44.284646 +0530
Face_file/Sad.jpg,Sound_file/Sad.wav,Sad,Sad,C,s,36,0,4,s,1,1.5144135,None,4,0,36,2,92.0994689,,,,,,,,92.088231,92.0994689,92.5762783,92.5762783,92.57609037,92.609705,,,94.0934268,s,1,1.5144135,None,p4,1,2025-11-20_11h02.34.759,Final Solo Project Psy310,,2025.1.1,59.89623576,2025-11-20 11h02.44.284646 +0530
Face_file/Anger.jpg,Sound_file/Anger.wav,Anger,Anger,C,a,38,2,4,a,1,1.4989659,None,4,2,38,0,96.0603031,,,,,,,,96.0575301,96.0603031,96.4263022,96.4263022,96.42597337,96.5593373,,,97.9267157,a,1,1.4989659,None,p4,1,2025-11-20_11h02.34.759,Final Solo Project Psy310,,2025.1.1,59.89623576,2025-11-20 11h02.44.284646 +0530
Face_file/Happy.jpg,Sound_file/Happy.wav,Happy,Happy,C,h,41,5,4,h,1,3.4800947,None,4,5,41,1,103.3396171,,,,,,,,103.3310983,103.3396171,103.6930601,103.6930601,103.692154,103.8428599,105.6988801,105.6988801,107.1758069,h,1,3.4800947,None,p4,1,2025-11-20_11h02.34.759,Final Solo Project Psy310,,2025.1.1,59.89623576,2025-11-20 11h02.44.284646 +0530
